time,temperature_obs
2026-09-01 02:00:00+02:00,15.4
2026-09-01 02:10:00+02:00,15.5
2026-09-01 02:20:00+02:00,15.6
2026-09-01 02:30:00+02:00,15.6
2026-09-01 02:40:00+02:00,15.4
2026-09-01 02:50:00+02:00,15.5
2026-09-01 03:00:00+02:00,15.6
2026-09-01 03:10:00+02:00,15.4
2026-09-01 03:20:00+02:00,15.5
2026-09-01 03:30:00+02:00,15.3
2026-09-01 03:40:00+02:00,14.9
2026-09-01 03:50:00+02:00,14.7
2026-09-01 04:00:00+02:00,15.0
2026-09-01 04:10:00+02:00,14.9
2026-09-01 04:20:00+02:00,14.9
2026-09-01 04:30:00+02:00,14.7
2026-09-01 04:40:00+02:00,14.7
2026-09-01 04:50:00+02:00,14.7
2026-09-01 05:00:00+02:00,14.6
2026-09-01 05:10:00+02:00,14.4
2026-09-01 05:20:00+02:00,14.4
2026-09-01 05:30:00+02:00,14.4
2026-09-01 05:40:00+02:00,14.5
2026-09-01 05:50:00+02:00,14.3
2026-09-01 06:00:00+02:00,14.2
2026-09-01 06:10:00+02:00,14.3
2026-09-01 06:20:00+02:00,14.1
2026-09-01 06:30:00+02:00,14.0
2026-09-01 06:40:00+02:00,14.1
2026-09-01 06:50:00+02:00,14.3
2026-09-01 07:00:00+02:00,14.2
2026-09-01 07:10:00+02:00,14.4
2026-09-01 07:20:00+02:00,14.6
2026-09-01 07:30:00+02:00,14.7
2026-09-01 07:40:00+02:00,15.1
2026-09-01 07:50:00+02:00,15.3
2026-09-01 08:00:00+02:00,15.5
2026-09-01 08:10:00+02:00,15.8
2026-09-01 08:20:00+02:00,16.3
2026-09-01 08:30:00+02:00,16.6
2026-09-01 08:40:00+02:00,17.0
2026-09-01 08:50:00+02:00,17.0
2026-09-01 09:00:00+02:00,17.7
2026-09-01 09:10:00+02:00,17.6
2026-09-01 09:20:00+02:00,17.8
2026-09-01 09:30:00+02:00,18.1
2026-09-01 09:40:00+02:00,18.4
2026-09-01 09:50:00+02:00,19.1
2026-09-01 10:00:00+02:00,19.0
2026-09-01 10:10:00+02:00,19.6
2026-09-01 10:20:00+02:00,19.5
2026-09-01 10:30:00+02:00,19.5
2026-09-01 10:40:00+02:00,19.4
2026-09-01 10:50:00+02:00,19.9
2026-09-01 11:00:00+02:00,20.0
2026-09-01 11:10:00+02:00,20.9
2026-09-01 11:20:00+02:00,21.1
2026-09-01 11:30:00+02:00,20.5
2026-09-01 11:40:00+02:00,21.0
2026-09-01 11:50:00+02:00,21.0
2026-09-01 12:00:00+02:00,21.1
2026-09-01 12:10:00+02:00,21.9
2026-09-01 12:20:00+02:00,21.8
2026-09-01 12:30:00+02:00,22.2
2026-09-01 12:40:00+02:00,22.2
2026-09-01 12:50:00+02:00,21.8
2026-09-01 13:00:00+02:00,22.3
2026-09-01 13:10:00+02:00,22.6
2026-09-01 13:20:00+02:00,22.4
2026-09-01 13:30:00+02:00,23.0
2026-09-01 13:40:00+02:00,23.2
2026-09-01 13:50:00+02:00,23.5
2026-09-01 14:00:00+02:00,23.4
2026-09-01 14:10:00+02:00,23.5
2026-09-01 14:20:00+02:00,23.1
2026-09-01 14:30:00+02:00,22.9
2026-09-01 14:40:00+02:00,22.9
2026-09-01 14:50:00+02:00,22.8
2026-09-01 15:00:00+02:00,23.2
2026-09-01 15:10:00+02:00,23.3
2026-09-01 15:20:00+02:00,24.2
2026-09-01 15:30:00+02:00,24.1
2026-09-01 15:40:00+02:00,25.0
2026-09-01 15:50:00+02:00,23.6
2026-09-01 16:00:00+02:00,24.2
2026-09-01 16:10:00+02:00,24.2
2026-09-01 16:20:00+02:00,23.9
2026-09-01 16:30:00+02:00,24.2
2026-09-01 16:40:00+02:00,24.3
2026-09-01 16:50:00+02:00,24.2
2026-09-01 17:00:00+02:00,24.4
2026-09-01 17:10:00+02:00,24.1
2026-09-01 17:20:00+02:00,24.4
2026-09-01 17:30:00+02:00,24.2
2026-09-01 17:40:00+02:00,24.5
2026-09-01 17:50:00+02:00,24.9
2026-09-01 18:00:00+02:00,24.4
2026-09-01 18:10:00+02:00,24.0
2026-09-01 18:20:00+02:00,24.1
2026-09-01 18:30:00+02:00,24.0
2026-09-01 18:40:00+02:00,24.4
2026-09-01 18:50:00+02:00,24.1
2026-09-01 19:00:00+02:00,24.0
2026-09-01 19:10:00+02:00,23.7
2026-09-01 19:20:00+02:00,23.3
2026-09-01 19:30:00+02:00,23.2
2026-09-01 19:40:00+02:00,23.0
2026-09-01 19:50:00+02:00,22.6
2026-09-01 20:00:00+02:00,22.1
2026-09-01 20:10:00+02:00,21.2
2026-09-01 20:20:00+02:00,20.0
2026-09-01 20:30:00+02:00,19.4
2026-09-01 20:40:00+02:00,18.2
2026-09-01 20:50:00+02:00,17.8
2026-09-01 21:00:00+02:00,18.2
2026-09-01 21:10:00+02:00,17.3
2026-09-01 21:20:00+02:00,17.4
