time,temperature_obs
2026-09-15 02:00:00+02:00,16.9
2026-09-15 02:10:00+02:00,17.0
2026-09-15 02:20:00+02:00,17.1
2026-09-15 02:30:00+02:00,17.2
2026-09-15 02:40:00+02:00,17.2
2026-09-15 02:50:00+02:00,17.2
2026-09-15 03:00:00+02:00,17.3
2026-09-15 03:10:00+02:00,17.2
2026-09-15 03:20:00+02:00,17.2
2026-09-15 03:30:00+02:00,17.2
2026-09-15 03:40:00+02:00,17.0
2026-09-15 03:50:00+02:00,16.9
2026-09-15 04:00:00+02:00,17.1
2026-09-15 04:10:00+02:00,17.1
2026-09-15 04:20:00+02:00,17.1
2026-09-15 04:30:00+02:00,17.1
2026-09-15 04:40:00+02:00,17.1
2026-09-15 04:50:00+02:00,17.1
2026-09-15 05:00:00+02:00,17.1
2026-09-15 05:10:00+02:00,17.0
2026-09-15 05:20:00+02:00,17.0
2026-09-15 05:30:00+02:00,17.1
2026-09-15 05:40:00+02:00,17.2
2026-09-15 05:50:00+02:00,17.2
2026-09-15 06:00:00+02:00,17.3
2026-09-15 06:10:00+02:00,17.3
2026-09-15 06:20:00+02:00,17.4
2026-09-15 06:30:00+02:00,17.5
2026-09-15 06:40:00+02:00,17.6
2026-09-15 06:50:00+02:00,17.6
2026-09-15 07:00:00+02:00,17.6
2026-09-15 07:10:00+02:00,17.7
2026-09-15 07:20:00+02:00,17.7
2026-09-15 07:30:00+02:00,17.7
2026-09-15 07:40:00+02:00,17.8
2026-09-15 07:50:00+02:00,17.9
2026-09-15 08:00:00+02:00,18.0
2026-09-15 08:10:00+02:00,18.0
2026-09-15 08:20:00+02:00,18.1
2026-09-15 08:30:00+02:00,18.2
2026-09-15 08:40:00+02:00,18.3
2026-09-15 08:50:00+02:00,18.4
2026-09-15 09:00:00+02:00,18.5
2026-09-15 09:10:00+02:00,18.8
2026-09-15 09:20:00+02:00,19.0
2026-09-15 09:30:00+02:00,19.3
2026-09-15 09:40:00+02:00,19.7
2026-09-15 09:50:00+02:00,19.8
2026-09-15 10:00:00+02:00,20.2
2026-09-15 10:10:00+02:00,20.5
2026-09-15 10:20:00+02:00,21.3
2026-09-15 10:30:00+02:00,21.0
2026-09-15 10:40:00+02:00,21.1
2026-09-15 10:50:00+02:00,21.8
2026-09-15 11:00:00+02:00,22.0
2026-09-15 11:10:00+02:00,21.7
2026-09-15 11:20:00+02:00,21.7
2026-09-15 11:30:00+02:00,22.3
2026-09-15 11:40:00+02:00,22.2
2026-09-15 11:50:00+02:00,22.7
2026-09-15 12:00:00+02:00,23.4
2026-09-15 12:10:00+02:00,23.2
2026-09-15 12:20:00+02:00,23.2
2026-09-15 12:30:00+02:00,23.5
2026-09-15 12:40:00+02:00,23.8
2026-09-15 12:50:00+02:00,23.5
2026-09-15 13:00:00+02:00,24.0
2026-09-15 13:10:00+02:00,24.3
2026-09-15 13:20:00+02:00,23.4
2026-09-15 13:30:00+02:00,23.2
2026-09-15 13:40:00+02:00,23.6
2026-09-15 13:50:00+02:00,23.6
2026-09-15 14:00:00+02:00,23.2
2026-09-15 14:10:00+02:00,23.2
2026-09-15 14:20:00+02:00,23.9
2026-09-15 14:30:00+02:00,24.3
2026-09-15 14:40:00+02:00,24.4
2026-09-15 14:50:00+02:00,24.6
2026-09-15 15:00:00+02:00,23.9
2026-09-15 15:10:00+02:00,24.3
2026-09-15 15:20:00+02:00,24.1
2026-09-15 15:30:00+02:00,23.9
2026-09-15 15:40:00+02:00,24.1
2026-09-15 15:50:00+02:00,24.4
2026-09-15 16:00:00+02:00,24.4
2026-09-15 16:10:00+02:00,24.0
2026-09-15 16:20:00+02:00,24.3
2026-09-15 16:30:00+02:00,24.0
2026-09-15 16:40:00+02:00,24.3
2026-09-15 16:50:00+02:00,24.3
2026-09-15 17:00:00+02:00,23.4
2026-09-15 17:10:00+02:00,23.5
2026-09-15 17:20:00+02:00,22.9
2026-09-15 17:30:00+02:00,22.8
2026-09-15 17:40:00+02:00,22.6
2026-09-15 17:50:00+02:00,22.6
2026-09-15 18:00:00+02:00,22.5
2026-09-15 18:10:00+02:00,21.7
2026-09-15 18:20:00+02:00,22.6
2026-09-15 18:30:00+02:00,22.4
2026-09-15 18:40:00+02:00,21.5
2026-09-15 18:50:00+02:00,21.6
2026-09-15 19:00:00+02:00,21.4
2026-09-15 19:10:00+02:00,21.4
2026-09-15 19:20:00+02:00,21.5
2026-09-15 19:30:00+02:00,21.7
2026-09-15 19:40:00+02:00,21.7
2026-09-15 19:50:00+02:00,19.5
2026-09-15 20:00:00+02:00,19.2
2026-09-15 20:10:00+02:00,19.2
2026-09-15 20:20:00+02:00,19.1
2026-09-15 20:30:00+02:00,19.0
2026-09-15 20:40:00+02:00,18.9
2026-09-15 20:50:00+02:00,18.8
2026-09-15 21:00:00+02:00,18.8
2026-09-15 21:10:00+02:00,18.7
2026-09-15 21:20:00+02:00,18.6
2026-09-15 21:30:00+02:00,18.7
2026-09-15 21:40:00+02:00,18.7
2026-09-15 21:50:00+02:00,18.6
2026-09-15 22:00:00+02:00,18.3
2026-09-15 22:10:00+02:00,18.3
2026-09-15 22:20:00+02:00,18.3
